City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,san julian,21.0167,-102.1667,28.24,25,41,3.8,MX,1717955238
181,irbit,57.6705,63.071,13.05,97,100,2.42,RU,1717955238
182,tilisarao,-32.7329,-65.2911,20.11,43,2,8.37,AR,1717955238
183,thompson,55.7435,-97.8558,13.09,35,20,2.06,CA,1717955238
184,mocksville,35.894,-80.5614,27.35,66,84,4.14,US,1717955238
185,badagry,6.4167,2.8833,26.62,85,48,4.84,NG,1717955238
186,ndele,8.4109,20.6473,24.24,65,90,2.04,CF,1717954942
187,la entrada,15.05,-88.7333,33.63,50,92,0.06,HN,1717955238
188,fortuna,40.5982,-124.1573,17.18,84,75,4.12,US,1717955238
189,sisimiut,66.9395,-53.6735,1.98,99,100,1.58,GL,1717955238
190,ayorou,14.7308,0.9174,40.77,21,5,2.09,NE,1717955238
191,debesy,57.6529,53.8049,13.89,94,84,2.64,RU,1717955238
192,crane,31.3974,-102.3501,35.3,18,17,0.54,US,1717955238
193,siracusa,37.0881,15.2792,29.62,56,60,6.78,IT,1717955238
194,bamboo flat,11.7,92.7167,25.05,94,100,6.95,IN,1717955238
195,mount isa,-20.7333,139.5,5.87,87,2,1.54,AU,1717955238
196,brookings,44.3114,-96.7984,23.38,37,0,3.09,US,1717955070
197,xinzhi,36.4989,111.7047,24.64,33,64,1.23,CN,1717955239
198,tarashcha,49.5583,30.4926,18.88,74,100,3.18,UA,1717955239
199,tura,25.5198,90.2201,25.74,95,3,3.71,IN,1717955239
200,kahama,-3.8333,32.6,20.24,46,41,1.92,TZ,1717955239
201,santa ana,33.7456,-117.8678,22.63,77,100,3.6,US,1717955239
202,coquimbo,-29.9533,-71.3436,16.85,74,0,3.09,CL,1717955239
203,kudahuvadhoo,2.6708,72.8944,28.85,73,98,3.82,MV,1717955239
204,flying fish cove,-10.4217,105.6791,25.82,88,75,5.14,CX,1717955239
205,diamantina,-18.2494,-43.6003,22.58,45,26,4.06,BR,1717955239
206,gidam,18.9833,81.4,28.32,69,71,1.55,IN,1717955239
207,marsh harbour,26.5412,-77.0636,29.13,66,10,2.28,BS,1717955240
208,pokhara,28.2333,83.9833,25.54,37,26,3.46,NP,1717955196
209,kiffa,16.6166,-11.4045,40.97,20,66,2.19,MR,1717955240
210,faro,37.0194,-7.9322,24.54,73,20,7.72,PT,1717955004
211,karratha,-20.7377,116.8463,19.6,73,0,2.18,AU,1717955240
212,phu kradueng,16.8843,101.8847,25.33,93,100,1.56,TH,1717955240
213,hue,16.4667,107.6,26.06,94,75,1.03,VN,1717955240
214,zhaotong,27.3167,103.7167,14.74,91,100,0.43,CN,1717955240
